id,name,desc,wuchs,reifezeit,lageansprüche,color,wine_desc,pilzresistent,img_url,verrieselanfälligkeit,ertrag,regelmässig,huglin_min,huglin_max,regen_min,regen_max,sonnestrahlung_min,sonnestrahlung_max,sonnenwinkel_min,sonnenwinkel_max,kalkgehalt_min,kalkgehalt_max,bodentiefe_min,bodentiefe_max,bodenbeschaffenheit_min,bodenbeschaffenheit_max
32,Johanniter*,"Es handelt sich um eine der vielversprechendsten pilzresis-tenten Weissweinsorten. Johanniter ging aus einer Kreuzung des Staatlichen Weinbauinstitutes Freiburg im Breisgau (D) aus dem Jahre 1968 hervor. Die Muttersorte ist der Riesling. Vatersorte ist der Zuchtstamm FR 589-54 (Seyve-Villard 12-4813[Pinot gris3Chasselas]). Der Sortenname Johanniter ist eine Reverenz an den früheren Leiter der Rebenzüchtung des Staatlichen Weinbauinstitutes in Freiburg, Dr. Johannes Zimmermann. Der Johanniter lässt in seinem Erscheinungsbild viele Ähnlichkeiten mit der Muttersorte Riesling erkennen. Die Trauben sind mittelgross, zylindrisch und relativ kompakt. Der Wuchs ist nur mittelkräftig, aber weitgehend aufrecht. Die Winterfrostfestigkeit ist gut, allerdings sollten frostgefährdete Standorte wegen des verfrühten Austriebes gemieden werden. In Lagen mit hohem Infektionsdruck ist mit einem gewissen Befall durch Falschen Mehltau zu rechnen, was in der Praxis ein bis drei Pflanzenschutzbehandlungen erfordern dürfte. Der Johanniter reift etwa zur gleichen Zeit wie der Blauburgunder. Er ist sehr fruchtbar, neigt etwas zu Alternanz und sollte deshalb ausgedünnt werden.",Mittel bis Stark,Anfang Oktober,Mittel bis Hoch,Weiss,"Der Johanniter ist ein rassiger, fruchtiger und harmonischer Wein mit feinem Bukett. Er erinnert etwas an Pinot blanc oder Chasselas.",TRUE,https:/www.rebschule-meier.ch/sites/default/files/styles/large/public/2018-09/helios.jpg,,,,,,,,,,,,,,,,,
33,Kerner,"Der Kerner entstand 1929 an der Staatlichen Lehr- und Versuchsanstalt Weinsberg aus den Sorten Trollinger (Frankenthaler, Vernatsch) und Riesling. Auffällige Merkmale des Kerners sind sein starker Wuchs und ein kräftiges Blattwerk, welches auch dann noch grün ist, wenn bei den meisten anderen Sorten im Herbst die Blätter schon abgefallen sind. Es ist wichtig, dass diese Sorte ein luftiges, weiträumiges Erziehungssystem bekommt. Abgesehen von der Anfälligkeit gegenüber dem Echten Mehltau handelt es sich um eine robuste Sorte mit sehr guten Reifegraden. Die Kräuselmilbe scheint sich auf dieser Sorte besonders wohl zu fühlen. Der späte Austrieb macht sie wenig anfällig auf Frühjahrsfrost, und auch die Winterfrostfestigkeit des Kerners ist ausgesprochen hoch. In trockenen Lagen scheint der Kerner nicht besonders gut zu gedeihen. Seine Reife fällt etwa mit derjenigen des Blauburgunders zusammen, kann allerdings dank der Frostfestigkeit der Blätter herausgezogen werden, um hohe Mostgewichte zu erreichen.",Stark,Anfang Oktober,Mittel,Weiss,"Die Weine sind frisch, rassig, mit rieslingähnlichem, fruchtigem, feinem Bukett, das gelegentlich einen leichten Muskatton aufweist.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/kerner.jpg,,,,,,,,,,,,,,,,,
34,Léon Millot,"Diese von Kuhlmann im Elsass gezüchtete Sorte (Kuhlmann 194.2) hat ähnliche Eigenschaften wie der Maréchal Foch, weist jedoch etwas kleinere Trauben auf und ist weniger anfällig auf Verrieselung. Die Reife ist sehr früh. Wegen der Gefahr des Wespenfrasses und anschliessender Essigbildung sollte der Léon Millot nicht in frühen Lagen gepflanzt werden. Bezüglich Krankheits- und Frostresistenz handelt es sich um eine robuste Sorte.",Stark,Mitte September,Tief bis Mittel,Blau,"Der Wein ist samtig-elegant bis kräftig, mit einem weichen Gerbstoff. Manchmal kann er sogar fast leicht süsslich wirken.",TRUE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Leon%20Millot.jpg,,,,,,,,,,,,,,,,,
35,Malbec,"Der Malbec oder Côt, wie er in Westfrankreich genannt wird, ist eine alte französische Sorte, die erst im zwanzigsten Jahrhundert vom Merlot verdrängt wurde. Ähnlich wie der Merlot neigt der Malbec zum Verrieseln und ist anfällig auf Pilzkrankheiten. Durch den frühen Austrieb ist er frostgefährdet. In guten Blauburgunderlagen wird er zeitig reif, und es entstehen attraktive, früh trinkreife Rotweine. Der kräftige Wuchs verlangt ein weiträumiges Erziehungssystem und schwachwachsende Unterlagen. Die Unterschiede zwischen den Klonen sind gering. Wir vermehren die zertifizierten Klone INRA594, 595 und 598.",Stark,Anfang Oktober,Mittel bis Hoch,Blau,"Die Weine sind tiefrot, tanninhaltig, aber dennoch mild und weich. Das Bukett kann u.a. an Brombeeren erinnern.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/styles/large/public/2018-12/syrah.jpg,,,,,,,,,,,,,,,,,
36,Maréchal Foch,"Die nach dem berühmten General aus dem Ersten Weltkrieg benannte französische Hybridrebe (Kuhlmann 188.2) ist eine gutbekannte Standardsorte mit früher bis mittelfrüher Reife. Wegen des sehr starken Wachstums und der langen Internodien sollte sie nicht zu eng gepflanzt werden. Die Trauben sind mittelgross mit kleinen Beeren, die bei schlechtem Blühwetter verrieseln können. Bei dieser Sorte bilden sich oft grünbleibende, unreife Beeren. Die Pilzresistenz ist gut, ebenso die Frosthärte",Stark,Mitte September,Mittel,Blau,"Je nach Reifegrad und Art der Vinifikation entstehen Weine mit dem Charakter eines kräftigen Blauburgunders oder eines südländischen Weines, bisweilen wirken sie etwas rauh oder weisen eine etwas grasige Note auf.",TRUE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Marechal%20Foch.jpg,,,,,,,,,,,,,,,,,
37,Marsanne blanche (Ermitage),"Man vermutet, dass sie Mitte des letzten Jahrhunderts ins Wallis eingeführt wurde, und zwar aus Hermitage in den nördlichen Côtes-du-Rhône. Ihr auch in der Schweiz gebräuchliches Synonym Ermitage deutet heute noch darauf hin. Die Marsanne blanche ist sehr spät reif und nur in Spitzenlagen zu empfehlen. Anfälligkeit gegenüber dem Echten Mehltau, Botrytis sowie die Empfindlichkeit gegen Trockenheit und Wind sind Schwachpunkte der Sorte. Dagegen zeigt sie eine hohe Fruchtbarkeit und einen erfreulich kräftigen Wuchs. Für Ermitage-Weine wird häufig auch die Sorte Roussanne mitverwendet.",Stark,Anfang November,Hoch,Weiss,"Die Weine präsentieren sich mit prächtigem Körner und intensiven Aromen, die an Beeren erinnern. Ihre Fülle und ihr Schmelz bezaubern. Ermitage ergibt auch eine Spätlese von fülliger Tiefe und samtener Ausgewogenheit. Nach einigen Jahren Lagerung entfaltet Ermitage Aromen von Honig und Wachs von einer seltenen Intensität.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/marsanne-blanche.jpg,1,3,3,,,,,,,,,,,,,,
38,Merlot,"Im Bordeaux stellt der Merlot die meistangebaute Sorte dar, in der Schweiz belegt sie den ersten Platz in den Rebbergen südlich der Alpen, wo sie gute klimatische Bedingungen vorfindet. Die Sorte zeichnet sich durch ein starkes Wachstum aus und hat ihren idealen Standort in Gebieten mit genügend Niederschlägen im Sommer. Trockenheit während der Vegetationsperiode bekommt dem Merlot schlecht. Durch seinen relativ frühen Austrieb ist er mancherorts frostgefährdet, während seine frühe Blüte ihn ausserordentlich anfällig für Verrieselung macht. Dagegen helfen jedoch schwachwüchsige Veredlungsunterlagen. Das lockere Traubengerüst des Merlot bewirkt, dass er erst gegen Ende der Reife fäulnisanfällig wird. Nicht empfindlich ist er gegenüber Echtem Mehltau, hingegen gegenüber Falschem Mehltau. Hauptklon der Schweiz ist der zertifizierte Klon 36/16 (RAC19), welcher auch von der Landwirt-schaftlichen Schule in Mezzana empfohlen wird. Unser eigener zertifizierter Klon RMW97-34 ist ein Abkömmling einer Bordeaux-Selektion für höchste Qualitäts-ansprüche. Der Klon 181 aus Frankreich gilt neben weiteren ebenfalls als hervorragender Qualitätsklon.",Stark,Ende Oktober,Mittel bis Hoch,Blau,"Sortenreine Merlot-Weine sind dunkelrot, vollmundig im Geschmack, aber bei weitem nicht so tanninreich wie der Cabernet Sauvignon.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Merlot.jpg,2,3,1,1800,2100,300,500,3000,3500,2,3,1,2,2,3,1,3
39,Monarch* (Freiburger Neuzüchtung),FR 487-88 r Mehrfachkreuzung mit Dornfelder,Stark,Anfang Oktober,Mittel bis Hoch,Blau,"Dieser Wein ist fruchtig, farbintensiv und extraktreich.",TRUE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/monarch.jpg,,,,,,,,,,,,,,,,,
40,Muscat du Valais,"Der weisse Muscat mit kleinen Beeren (Muscat à petit grains, Muscat de Frontignan, Muscat d’Alsace) wird in der Schweiz vorwiegend auf kleinen Flächen im Wallis angebaut, während er weltweit eine recht grosse Bedeutung geniesst. Der kleinbeerige Muscat ist fast mit Gewissheit die älteste bekannte Weinrebe überhaupt. Diese reich parfümierte Sorte ist weinbaulich nicht immer unproblematisch. Die besonnten Trauben reifen deutlich schneller als die Schattentrauben, was die Wahl des Erntezeitpunktes erschwert. Es empfiehlt sich, durch Auslauben die Traubenzone gut besonnt zu halten. Ausserdem neigt die Sorte zu Fäulnis, dies nicht zuletzt wegen Bienen und Wespen, welche vom süssen Duft der Beeren angezogen werden. Die Reifezeit ist spät.",Mittel bis Stark,Ende Oktober,Hoch,Weiss,Der Muscat du Valais ist gekennzeichnet durch ein kräftiges Aroma und das typische Muskatbukett. Er sollte eher jung getrunken werden.,FALSE,https:/www.rebschule-meier.ch/sites/default/files/styles/large/public/2017-06/Weisse%20Himbeertraube.jpg,,,,,,,,,,,,,,,,,
41,Petite Arvine,"Die im Wallis heimische Petite Arvine ist eine spät reifende Sorte, die nur in besten und nicht allzu trockenen Lagen zu empfehlen ist. Ihre Trauben sind klein und locker, die Beeren ebenfalls klein und rund mit feinem und delikatem Fruchtfleisch. Die Fruchtbarkeit ist gut, und die Wuchskraft richtet sich nach der Wahl der Unterlage. Residualherbizide sollen gelegentlich Probleme bieten. Überreif gelesen, ergibt die Petite Arvine einen konzentrierten, aromareichen Wein. Dieser Wein kann schon in seiner Jugend getrunken werden, besitzt aber auch ein gutes Alterungspotential. Als zertifizierter Klon steht der RAC22 zur Verfügung.",Mittel bis Stark,Anfang November,Hoch,Weiss,"Sie erbringt kräftige, volle, feinblumige Weine in trockener und lieblicher Ausführung, bei denen ein Alkoholgehalt von 13% durchaus nicht ungewöhnlich ist. Sie zeichnen sich durch eine lange Haltbarkeit aus. Im Bukett erinnert die Arvine an blühende Glycinen; mit dem schönen Gleichgewicht von Alkohol und Säure erscheint sie als noble Sorte.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Petit%20Arvine.jpg,,,,,,,,,,,,,,,,,
42,Pinot blanc (Weissburgunder),"Gleich wie der Pinot gris ist er vom Habitus her ein typischer Pinot mit kompakten Trauben, dem Namen entsprechend aber weiss. Der Pinot blanc hat mittlere bis hohe Lageansprüche, aber keine erhöhte Mehltauanfälligkeit. Die kompakte Traubenform macht ihn allerdings etwas fäulnisanfällig, was bei der Wahl des Standortes berücksichtigt werden muss. In einer belüfteten Hang- und Hügellage gedeiht er am besten. Für eine genügende Reife sollten die Zuckerwerte deutlich über 80 Grad Öchsle liegen. Die Winterfrostanfälligkeit ist bei der meist guten Holzreife nicht bedeutend, und auch Frühjahrsfröste vermögen dem eher spät austreibenden Pinot blanc in der Regel nichts anzuhaben.",Mittel bis Stark,Anfang Oktober,Mittel bis Hoch,Weiss,"Die Weine sind eher neutral, mit leichter Fruchtnote, meist weich, harmonisch und elegant.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-01/Pinot%20blanc.JPG,2,2,2,1500,1800,300,500,3000,4000,1,2,1,2,2,3,1,3
43,Pinot gris (Malvoisie),"Ein weiteres Mitglied der grossen Burgunderfamilie ist der Pinot gris. Die Sorte stellt vermutlich eine recht alte Mutation des Blauburgunders dar. Es handelt sich um eine hervorragende Qualitätssorte, welche Zuckerwerte wie kaum eine andere Sorte hervorbringt. Der Pinot gris gewinnt in der Schweiz seit einigen Jahren zunehmend an Bedeutung. Wegen seines aufrechten Wuchses und hoher Winterfrostfestigkeit ist er im Anbau eher unproblematisch. Allerdings muss mit guter Laubarbeit und exakter Botrytisbekämpfung der Neigung zur Fäulnis entgegengewirkt werden.",Mittel bis Stark,Anfang Oktober,Mittel bis Hoch,Weiss,"Es ist möglich, unterschiedlichste Weintypen zu keltern, von leicht und spritzig über schwer und üppig bis edelsüss.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Pinot%20gris.jpg,2,1,2,,,,,,,,,,,,,,
44,Pinot noir (Blauburgunder),"Der Pinot noir oder Blauburgunder ist die wichtigste Rotweinsorte der Schweiz. Die Heimat dieser edlen Rebsorte ist das Burgund. Der Name Pinot, abgeleitet vom Französischen «pin» = Fichte bzw. Fichtenzapfen, weist auf seine klassische Traubenform hin. Der Blauburgunder zeigt, wie auch andere Burgundersorten, in seinen Eigenschaften eine grosse Variabilität, was sich auch an der Vielzahl zur Verfügung stehender Klone zeigt. Jedes Weinbaugebiet hat bestimmte auf sein Klima und seine Böden zugeschnittene Klone. Die Sorte stellt hohe Ansprüche an die Vinifikation. Im Anbau bereitet der Pinot noir keine grösseren Probleme. Ein Anbau in geringen Lagen ist jedoch nicht empfehlenswert, da die Qualität hinsichtlich Mostgewicht und Farbtiefe leidet. Ebenso bleibt in schlechten Lagen die Säure unharmonisch hoch. Fruchtbarkeit und Fäulnisanfälligkeit sind je nach Klon verschieden.",Mittel bis Stark,Anfang Oktober,Mittel bis Hoch,Blau,"Pinot noir kann in der Jugend nach Himbeeren, Erdbeeren, Kirschen und Veilchen schmecken, während er bei zunehmender Reife eher herbstlich-würzige Töne annimmt. Er besitzt eine feine, geschmeidige Struktur.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-08/Pinot%20Noir%20classic.jpg,1,2,2,1700,1900,400,600,3000,4000,1,2,1,2,2,3,1,2
45,Prior* (Freiburger Neuzüchtung),FR 484-87 r,Stark,Ende Oktober,Hoch,Blau,"Fäulnisanfälligkeit gering. Der Prior Wein ist neutral bis fruchtig, farb- intensiv und extraktreich.",TRUE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/prior.jpg,,,,,,,,,,,,,,,,,
46,Räuschling,"Der Räuschling liegt wieder neu im Trend. Weinbaulich zeigt diese Sorte manchmal Probleme mit der Blüte und neigt deshalb zu Ertragsschwankungen. Bei Niederschlägen im Spätsommer kann häufig auch ein Aufspringen der Beeren beobachtet werden. Demgegenüber weist der Stock eine gute Winterfrostfestigkeit auf. Es treiben nur die Hauptaugen aus, was die Laubarbeiten erleichtert. Das Blatt des Räuschlings ist demjenigen der Traminersorten sehr ähnlich, und die Sorte ist ebenfalls an den unteren Augen wenig fruchtbar. Den Räuschling schneidet man deshalb mit Vorteil lang an. Die zurzeit mit Erfolg am meisten angebauten Klone sind die Nummern 14 und 42.",Mittel bis Stark,Anfang Oktober,Mittel,Weiss,Die Räuschlingweine gefallen durch ihre dezente Frucht und elegante Säure.,FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-08/Roter%20Ra%CC%88uschling.jpg,3,3,1,,,,,,,,,,,,,,
47,Regent,"Der Regent ist eine Neuzüchtung der Bundesforschungsanstalt Geilweilerhof (D), hervorgegangen aus der Kreuzung Diana x Chambourcin. Er ist frohwüchsig und reift gleichzeitig mit dem Riesling-Sylvaner. Die lockeren Trauben werden gerne von Wespen heimgesucht. Magnesiummangel-Symptome, die sich über die halbe Laubwandhöhe ausdehnen können, verschwinden etwa nach dem 5. Standjahr. Beim Falschen Mehltau kann beim Regent lediglich von einer Teilresistenz gesprochen werden. Es ist ratsam, ein bis drei Fungizid-behandlungen vorzunehmen. Vor allem ist aber den mehltaumindernden Pflegemassnahmen volle Aufmerksamkeit zu schenken. Die Resistenz gegen den Echten Mehltau ist in den meisten Fällen genügend, und auch die Botrytisresistenz der Trauben ist hoch.",Mittel bis Stark,Mitte September,Mittel,Blau,"Die Kelterung von Regent ergibt tiefrote, kräftige, gerbstoffbetonte Weine, besonders durch längere Maischestandzeit. Die Möglichkeiten für den Weinausbau lassen einen grossen Spielraum",TRUE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/regent.jpg,,,,,,,,,,,,,,,,,
48,Rheinriesling,"Diese vor allem in Deutschland und im Elsass weitverbreitete Sorte ist auch bekannt unter dem Namen Rheinriesling oder Petit Rhin. Die spät reifende Sorte benötigt beste Lagen, ist hingegen für fast alle Böden und Erziehungsarten geeignet. Die Weine widerspiegeln sehr deutlich die verschiedenen Bodenarten. Der Riesling ist nicht besonders anfällig gegenüber Pilzkrankheiten und Botrytis, hingegen etwas mehr gegenüber Stiellähme und Stielfäule. Er zeigt einen kräftigen, aufrechten Wuchs und zählt dank seiner guten Holzreife, Trocken-toleranz und der Winterfrostfestigkeit zum robusten Schlag. Die Erträge sind regelmässig, sollten jedoch 1 kg/m2 nicht übersteigen. Wir empfehlen den Klon FR 52.",Mittel,Ende Oktober,Hoch,Weiss,"Die Weine widerspiegeln sehr deutlich die Bodenart, sie haben Rasse und Eleganz und zuweilen ein äusserst aromatisches Bukett, das an Pfirsiche erinnern kann.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/rheinriesling.jpg,2,2,1,,,,,,,,,,,,,,
49,Riesling-Sylvaner (Müller-Thurgau),"Vom Schweizer Professor Hermann Müller 1882 in Geisenheim angeblich aus den Sorten Riesling und Sylvaner gekreuzt, hat diese Sorte bis heute eine grosse Verbreitung gefunden. Neuere Untersuchungen lassen es als wahrscheinlich erscheinen, dass die Sorte eine Kreuzung zwischen Riesling und Madeleine royal ist. Der Riesling Sylvaner bevorzugt tiefgründige, nicht zu trockene Böden. Der guten Blütefestigkeit und der Spätfrosttoleranz (fruchtbare Nebenaugen) steht die etwas erhöhte Winterfrostempfindlichkeit gegenüber.",Mittel bis Stark,Mitte September,Mittel,Weiss,"Die süffigen, leichten Qualitätsweine mit angenehmem Muskatton und milder Säure erscheinen je nach Standort mehr oder weniger aroma- intensiv und nervig.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Riesling%20Sylvaner.jpg,2,2,1,1700,1900,400,600,3000,3500,1,2,1,2,2,3,1,3
50,Rondo*,"Den Ursprung hat diese Sorte in einer Kreuzung von Saperavi Severnyi mit St.Laurent, die 1964 in der damaligen Tschechoslowakei durchgeführt wurde. In Geisenheim wurde die Züchtung weiterverfolgt und ihr der Name Rondo gegeben. Interessant ist sie vor allem wegen der hohen Widerstandsfähigkeit gegenüber Falschem Mehltau, der hohen Weinqualität und der sehr guten Farbstoffproduktion. Die Toleranz gegenüber Echtem Mehltau ist bei Rondo hingegen geringer. Wegen des hängenden Triebwachstums verlangt die Sorte etwas mehr Laubarbeit, obwohl sie nur wenige Geiztriebe ausbildet. Spätfrostlagen müssen aufgrund des frühen Austriebs unbedingt vermieden werden. Die Reife ist ebenfalls recht früh.",Mittel,Mitte September,Mittel,Blau,"Die eleganten Weine der Sorte liegen geschmacklich nahe beim Blauburgunder. Die Farbe des Weines ist rubinrot, ohne blaue Nuancen.",TRUE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Rondo.jpg,,,,,,,,,,,,,,,,,
51,Sauvignon blanc,Die Sorte ist vor allem im Bordelais und im Loire-Tal,Stark,Anfang Oktober,Hoch,Weiss,"Die Weine zeichnen sich bei gut ausgereiftem Traubengut (ab 85 Grad Öchsle) durch ein herrlich fruchtiges Bukett aus, das intensiv nach schwarzen Johannisbeeren riecht. Rassige Säurestruktur.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-12/sauvignon-blanc.jpg,2,2,2,1700,1900,400,600,3000,4000,1,2,2,3,1,3,2,3
52,Scheurebe,"Die Scheurebe wurde 1916 von Georg Scheu an der Landesanstalt für Rebenzüchtung Alzey aus Silvaner und Riesling gekreuzt. In guten Lagen können Weine von hoher Qualität gewonnen werden. Unreife Weine hingegen haben ein fremdartiges Bukett. Wesentliche Anbaueigenschaften der Scheurebe sind das starke Wachstum und ihre Chlorosefestigkeit. In der Jugend ist die Scheurebe stark frostgefährdet, später aber zeigt sie sich zuverlässig frosthart, und in guten Jahren entwickelt sie Edelfäule. Sie kann dann äusserst feine Beerenauslesen und Trockenbeerenauslesen erbringen. Gegen Falschen Mehltau ist die Scheurebe ebenso empfindlich wie der Riesling-Sylvaner, sie gehört hingegen nicht zu den botrytisempfindlichen Sorten.",Mittel,Anfang Oktober,Hoch,Weiss,"Aus den Trauben der Scheurebe entstehen feine, körperreiche Weine mit verstärktem Rieslingbukett, das leicht muskatartig ist. Das Bukett erinnert nicht selten an schwarze Johannisbeeren. Es können höchste Spitzenweine gewonnen werden.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/scheurebe.jpg,,,,,,,,,,,,,,,,,
53,"Silvaner (Johannisberg, Gros Rhin)","Diese Sorte ist in der Schweiz auch unter dem Namen Johannisberg, Hanisberg oder Gros Rhin bekannt. Sie blüht und reift spät, die Blütefestigkeit ist hingegen hoch. Der Silvaner stellt hohe Ansprüche an Boden und Lage (Winterfrost). Er neigt zu hohen Erträgen, was bei ungenügend ausgereiftem Traubengut zu einem Wein mit unangenehmer Grasigkeit führen kann. Im Übrigen sind die Weine in der Jugend ziemlich neutral, können mit zunehmender Reife aber eine beachtliche Tiefe gewinnen.",Stark,Ende Oktober,Hoch,Weiss,Mit zunehmender Reife können die vorwiegend neutralen und fruchtigen Weine eine beachtliche Tiefe gewinnen.,FALSE,https:/www.rebschule-meier.ch/sites/default/files/styles/large/public/2017-06/Perle%20von%20Csaba.jpg,1,2,3,1700,1900,400,600,3500,4000,2,3,2,3,1,3,1,3
54,Solaris*,"Diese Kreuzung zwischen Merzling und Gm 6493 ist sehr frühreif und zeigt einen kräftigen, etwas liegenden Wuchs. Solaris hebt sich vor allem durch die gute Resistenz gegenüber den beiden Mehltaukrankheiten ab. Die Botrytisanfälligkeit ist etwas höher. Die Trauben sind mittelgross, auch die Beeren haben mittlere Grösse.",Stark,Mitte September,Tief bis Mittel,Weiss,"Die Weine sind eher neutral, aber kräftig und gehaltvoll. Ähnlich wie der Seyval blanc.",TRUE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/solaris.jpg,,,,,,,,,,,,,,,,,
55,St. Laurent,"Der St.Laurent ist im Anbau noch wenig verbreitet. Über seine Herkunft ist man sich nicht ganz sicher, jedoch wurde er bisher als eine Spielart des Blauburgunders angesehen. Nichtsdestoweniger ist der St.Laurent eine hochwertige Rotweinsorte. Bedingt durch die verhältnismässig frühe Reife, werden mittelgute Lagen beansprucht. Besonders hervorzuheben ist die grosse Winterfrosthärte. Der frühe Austrieb verbietet allerdings das Pflanzen in ausgesprochenen Maifrostlagen. Die Trauben werden kaum von Botrytis befallen, da die Beeren eine dicke Haut besitzen. Diese besondere Eigenschaft kommt dem Säureabbau am Stock durch eine späte Lese entgegen. Die Säure ist um zwei bis drei Promille höher als die des Blauburgunders.",Mittel,Mitte September,Mittel,Blau,"Der Wein ist von hervorgehobener Qualität, von tiefroter Farbe und hat ein feines Bordeaux-Bukett.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/St.%20Laurent.jpg,,,,,,,,,,,,,,,,,
56,Syrah,"Die Syrah hat sich ihr Renommee in den Weinbergen von Ermitage in den nördlichen Côtes-du-Rhône geschaffen und wird mit Erfolg in den heissen Weinbauregionen der Welt angebaut. In der Schweiz gedeiht diese Sorte nur in besten Lagen zufriedenstellend. Ihr Austrieb erfolgt spät, dafür ist auch die Empfindlichkeit gegenüber Frühjahrsfrost nur gering. Mit einem mittleren bis üppigen Wuchs hat die Syrah meist nur eine mittelmässige Fruchtbarkeit an den unteren Augen. Ein Ertrag von 500 g/m2 führt im Allgemeinen zu einem optimalen Verhältnis von Qualität und Menge. Ein Mostgewicht von mindestens 90 Öchsle-graden ist anzustreben. Junge Reben können oft nur schwer im Ertrag reguliert werden. Ein Bestand aus alten Stöcken ist besonders hochwertig. Im klassischen Syrah-Gebiet, den oberen Côtes-du-Rhône, werden deshalb die Stöcke nur einzeln gerodet und erneuert. Empfindlich ist Syrah je nach Klon auf Trockenheit, Chlorose und Botrytis. Ausserdem brechen die Triebe bei starkem Wind leicht ab. Am weitesten verbreitet ist der Klon 100. Er zeichnet sich durch eine gute Fruchtbarkeit und ein eher lockeres Traubengerüst aus. Ein weiterer Klon ist der INRA 470. Er hat im Vergleich etwas kleinere Trauben.",Mittel bis Stark,Ende Oktober,Hoch,Blau,"Von guten Lagen kennt man tiefrote, tanninreiche Syrah-Weine mit Duft nach Veilchen im jungen Stadium und einem Aromagemisch aus schwarzen Beeren, Pfeffer, Gewürzen und Lakritze im Alter. Tanninreich und vollmundig.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-12/syrah.jpg,2,3,1,2000,2300,400,600,3500,4000,2,3,2,3,1,3,1,3
57,Viognier,"Diese Spezialität stammt ursprünglich aus den oberen Côtes-du-Rhône. Sie findet aber weltweit immer grössere Beachtung. Der Grund für ihren bis anhin seltenen Anbau liegt in der geringen Ertragsfähigkeit. Viognier braucht einen warmen, eher trockenen Standort, um zur vollen Reife zu gelangen. Die Sorte ist nicht besonders anfällig gegen Falschen oder Echten Mehltau, hingegen ist sie empfindlich gegen Botrytis. Es sind enge Pflanzabstände anzustreben. Wir führen nebst weiteren vor allem den Klon 642.",Schwach bis Mittel,Anfang Oktober,Hoch,Weiss,"Die Weine zeigen eine goldene Farbe, das Bukett ist zart und fruchtig, an Aprikose oder Pfirsich erinnernd, mit einem leichten Zug ins Exotische. Im Abgang ist er nicht zu schwer, jedoch anhaltend.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/styles/large/public/2018-08/Ko%CC%88nigliche%20Magdalenen.JPG,1,2,2,,,,,,,,,,,,,,
58,Zweigelt,"Dr. Zweigelt von der Höheren Bundeslehranstalt in Klosterneuburg in Österreich führte 1922 eine Kreuzung der Sorten St.Laurent und Lemberger durch. Daraus entstand eine frühreife, kräftig wachsende und robuste Sorte. Der Zweigelt benötigt gute Blauburgunderlagen, Farbumschlag und Reife sind jedoch etwas früher als beim Blauburgunder. Er ist ausgesprochen frostfest und hat an den Boden keine besonderen Ansprüche. Ein besonderes Augenmerk ist auf die Ertragsregulierung zu werfen, da die Sorte zu übermässigen Erträgen neigt.",Stark,Anfang Oktober,Mittel,Blau,"Werden dem Stock keine übermässig hohen Erträge abverlangt, so entstehen körperreiche, burgunderartige Weine mit kräftiger Farbe.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/zweigelt.jpg,,,,,,,,,,,,,,,,,